run_id,subject,task,n_classes,mean_accuracy,std_accuracy,chance_level,f1_macro,perm_pvalue,n_train,n_test,timestamp,file
phase3_batch_20260428_121359,P02,nasal_v_nonnasal,2,0.5960227272727272,0.036531925921996604,0.5,0.5407066052227343,,644,161,2026-04-28T14:12:27,../outputs/results/phase3_batch_20260428_121359/P02_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM16,vowel_v_consonant,2,0.559288537549407,0.10786966073306362,0.5,0.4649621212121212,,452,113,2026-04-28T13:25:27,../outputs/results/phase3_batch_20260428_121359/MM16_vowel_v_consonant.json
phase3_batch_20260428_121359,MM11,bilabial_v_nonbilabial,2,0.5646723646723647,0.07228049931064352,0.5,0.5470427661510464,,524,131,2026-04-28T12:52:59,../outputs/results/phase3_batch_20260428_121359/MM11_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM20,vowel_v_consonant,2,0.7283333333333333,0.04128155358833613,0.5,0.5284339457567804,,308,77,2026-04-28T13:51:07,../outputs/results/phase3_batch_20260428_121359/MM20_vowel_v_consonant.json
phase3_batch_20260428_121359,MM11,11-class,11,0.18347578347578347,0.06673846184008232,0.09090909090909091,0.1397525855232798,,524,131,2026-04-28T12:52:56,../outputs/results/phase3_batch_20260428_121359/MM11_11-class.json
phase3_batch_20260428_121359,MM21,nasal_v_nonnasal,2,0.5301994301994302,0.03094022340795055,0.5,0.4878598247809762,,528,132,2026-04-28T14:01:54,../outputs/results/phase3_batch_20260428_121359/MM21_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM14,bilabial_v_nonbilabial,2,0.6592592592592592,0.06687818006209101,0.5,0.6363636363636364,,528,132,2026-04-28T13:09:12,../outputs/results/phase3_batch_20260428_121359/MM14_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM11,vowel_v_consonant,2,0.6031339031339031,0.037856376619653784,0.5,0.5444087747458534,,524,131,2026-04-28T12:52:57,../outputs/results/phase3_batch_20260428_121359/MM11_vowel_v_consonant.json
phase3_batch_20260428_121359,MM15,11-class,11,0.21695906432748538,0.09399391027674008,0.09090909090909091,0.2437772031889679,,368,92,2026-04-28T13:17:30,../outputs/results/phase3_batch_20260428_121359/MM15_11-class.json
phase3_batch_20260428_121359,MM09,vowel_v_consonant,2,0.5583333333333333,0.05791756594026069,0.5,0.5246753246753246,,488,122,2026-04-28T12:35:47,../outputs/results/phase3_batch_20260428_121359/MM09_vowel_v_consonant.json
phase3_batch_20260428_121359,MM14,nasal_v_nonnasal,2,0.6216524216524216,0.09617062215161075,0.5,0.582912032355915,,528,132,2026-04-28T13:09:11,../outputs/results/phase3_batch_20260428_121359/MM14_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM14,11-class,11,0.1811965811965812,0.06251857460531576,0.09090909090909091,0.15396362401709995,,528,132,2026-04-28T13:09:09,../outputs/results/phase3_batch_20260428_121359/MM14_11-class.json
phase3_batch_20260428_121359,MM10,11-class,11,0.2294372294372294,0.04998078752336486,0.09090909090909091,0.22545289924969072,,436,109,2026-04-28T12:43:19,../outputs/results/phase3_batch_20260428_121359/MM10_11-class.json
phase3_batch_20260428_121359,MM12,bilabial_v_nonbilabial,2,0.62,0.17204650534085253,0.5,0.6124031007751938,,200,50,2026-04-28T12:59:39,../outputs/results/phase3_batch_20260428_121359/MM12_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM16,nasal_v_nonnasal,2,0.4790513833992095,0.12262905568167788,0.5,0.44868932440254694,,452,113,2026-04-28T13:25:28,../outputs/results/phase3_batch_20260428_121359/MM16_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM18,bilabial_v_nonbilabial,2,0.6777777777777778,0.06478835438717,0.5,0.6685714285714286,,360,90,2026-04-28T13:32:56,../outputs/results/phase3_batch_20260428_121359/MM18_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM05,bilabial_v_nonbilabial,2,0.5636363636363637,0.08265564664839915,0.5,0.5497271073377805,,660,165,2026-04-28T12:14:10,../outputs/results/phase3_batch_20260428_121359/MM05_bilabial_v_nonbilabial.json
